X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-4.317017,1.600000,1.440000,13.877865,17.000000,17.000000,55.000000,72.037460
-4.317017,1.600000,2.880000,14.021615,17.000000,17.000000,55.000000,71.293571
-4.317017,1.600000,4.320001,14.068334,17.000000,17.000000,56.000000,71.058472
-4.317017,1.600000,5.760001,13.895677,17.000000,17.000000,56.000000,71.967529
-4.317017,1.600000,7.200000,14.248438,17.000000,17.000000,56.000000,70.142365
-4.317017,1.600000,8.640000,13.780729,18.000000,18.000000,58.000000,72.534943
-4.317017,1.600000,10.080000,14.281094,19.000000,19.000000,60.000000,70.002731
-4.317017,1.600000,11.520000,13.559896,18.000000,18.000000,59.000000,73.726486
-4.317017,1.600000,12.960000,14.295260,19.000000,19.000000,61.000000,69.931854
-4.317017,1.600000,14.400000,13.904740,23.000000,23.000000,71.000000,71.898804
-4.317017,1.600000,15.840010,13.521146,22.000000,22.000000,71.000000,73.927185
-4.317017,1.600000,17.280000,14.030417,22.000000,22.000000,71.000000,71.261818
-4.317017,1.600000,18.720010,13.497657,22.000000,22.000000,71.000000,74.050934
-4.317017,1.600000,20.160010,14.120729,25.000000,24.000000,80.000000,70.806381
-4.317017,1.600000,21.600010,13.557188,26.000000,24.000000,88.000000,73.824287
-4.317017,1.600000,23.040000,13.998385,26.000000,24.000000,96.000000,71.413956
-4.317017,1.600000,24.480010,13.669010,26.000000,25.000000,98.000000,73.154564
-4.317017,1.600000,25.920010,13.441718,26.000000,25.000000,103.000000,74.332748
-4.317017,1.600000,27.360010,13.972083,27.000000,25.000000,109.000000,71.484413
-4.317017,1.600000,28.800000,13.709531,27.000000,25.000000,113.000000,72.894875
-4.317017,1.600000,30.240010,14.197553,27.000000,25.000000,117.000000,70.434418
-4.317017,1.600000,31.680010,13.152968,27.000000,25.000000,118.000000,75.956879
-4.317017,1.600000,33.120010,13.578750,26.000000,24.000000,122.000000,73.571388
-4.317017,1.600000,34.560010,13.795313,28.000000,26.000000,136.000000,72.450371
-4.317017,1.600000,36.000010,13.451563,28.000000,27.000000,143.000000,74.219254
-4.317017,1.600000,37.440010,13.686979,29.000000,28.000000,151.000000,73.050468
-4.317017,1.600000,38.880010,13.910520,29.000000,28.000000,154.000000,71.868126
-4.317017,1.600000,40.320010,13.679323,32.000000,29.000000,158.000000,73.080772
