X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-4.317017,1.600000,1.440000,13.955730,17.000000,17.000000,43.000000,71.630836
-4.317017,1.600000,2.880000,13.940052,17.000000,17.000000,43.000000,71.716187
-4.317017,1.600000,4.320001,13.998386,17.000000,17.000000,43.000000,71.411034
-4.317017,1.600000,5.760001,13.887708,17.000000,17.000000,43.000000,71.985870
-4.317017,1.600000,7.200000,14.209375,17.000000,17.000000,43.000000,70.360863
-4.317017,1.600000,8.640000,13.829688,19.000000,19.000000,45.000000,72.278000
-4.317017,1.600000,10.080000,13.622865,19.000000,19.000000,46.000000,73.394218
-4.317017,1.600000,11.520000,14.005938,19.000000,19.000000,46.000000,71.359283
-4.317017,1.600000,12.960000,13.983542,19.000000,19.000000,47.000000,71.497993
-4.317017,1.600000,14.400000,14.081667,23.000000,23.000000,58.000000,70.987541
-4.317017,1.600000,15.840010,13.863490,22.000000,22.000000,56.000000,72.104820
-4.317017,1.600000,17.280000,14.176667,22.000000,22.000000,56.000000,70.520569
-4.317017,1.600000,18.720010,12.931719,22.000000,22.000000,57.000000,77.434349
-4.317017,1.600000,20.160010,14.092448,25.000000,24.000000,61.000000,70.830147
-4.317017,1.600000,21.600010,14.029844,26.000000,24.000000,61.000000,71.246483
-4.317017,1.600000,23.040000,13.654687,26.000000,24.000000,63.000000,73.226547
-4.317017,1.600000,24.480010,14.276459,26.000000,25.000000,63.000000,70.030312
-4.317017,1.600000,25.920010,13.164792,26.000000,25.000000,63.000000,76.021240
-4.317017,1.600000,27.360010,13.966250,27.000000,25.000000,63.000000,71.556618
-4.317017,1.600000,28.800000,13.687032,27.000000,25.000000,63.000000,73.002968
-4.317017,1.600000,30.240010,13.764583,27.000000,25.000000,63.000000,72.573059
-4.317017,1.600000,31.680010,14.076459,28.000000,25.000000,63.000000,70.992523
-4.317017,1.600000,33.120010,13.383645,26.000000,24.000000,62.000000,74.696251
-4.317017,1.600000,34.560010,14.048385,28.000000,26.000000,81.000000,71.195496
-4.317017,1.600000,36.000010,13.262657,29.000000,27.000000,88.000000,75.302979
-4.317017,1.600000,37.440010,13.745677,29.000000,28.000000,92.000000,72.684326
-4.317017,1.600000,38.880010,13.660208,29.000000,28.000000,92.000000,73.026573
-4.317017,1.600000,40.320010,13.712604,32.000000,29.000000,97.000000,72.903450
-4.317017,1.600000,41.760010,13.891510,32.000000,29.000000,97.000000,71.952698
-4.317017,1.600000,43.200010,13.681511,35.000000,30.000000,101.000000,73.071594
-4.317017,1.600000,44.640010,13.700625,37.000000,31.000000,102.000000,72.963860
-4.317017,1.600000,46.080010,13.787552,39.000000,32.000000,105.000000,72.588692
-4.317017,1.600000,47.520010,14.185156,41.000000,35.000000,109.000000,70.373238
-4.317017,1.600000,48.960010,14.375678,43.000000,36.000000,110.000000,69.523399
-4.317017,1.600000,50.400010,14.468541,47.000000,39.000000,121.000000,69.086868
-4.317017,1.600000,51.840010,22.533177,50.000000,40.000000,126.000000,44.375313
-4.317017,1.600000,53.280010,13.852552,54.000000,42.000000,135.000000,72.165527
-4.317017,1.600000,54.720020,14.713542,56.000000,44.000000,138.000000,68.021912
-4.317017,1.600000,56.160020,13.278021,56.000000,45.000000,139.000000,75.126778
-4.317017,1.600000,57.600020,15.917448,58.000000,46.000000,141.000000,62.821060
-4.317017,1.600000,59.040010,18.220989,60.000000,48.000000,147.000000,54.853691
-4.317017,1.600000,60.480010,21.681094,62.000000,49.000000,152.000000,46.107960
-4.317017,1.600000,61.920020,13.947291,69.000000,55.000000,159.000000,71.673889
