X,Y,Rotation,Main Thread,Render Thread,FPS
12.220880,1.600000,0.000000,3.526400,0.000000,291.197100
12.220880,1.600000,0.048152,4.773300,0.000000,207.675700
12.220880,1.600000,0.087416,3.918600,0.000000,254.686200
12.220880,1.600000,0.127590,4.038500,0.000000,248.917200
12.220880,1.600000,0.169505,4.192900,0.000000,238.578100
12.220880,1.600000,0.210104,3.962500,0.000000,246.311500
12.220880,1.600000,0.251490,4.226800,0.000000,241.627600
12.220880,1.600000,0.290074,3.833000,0.000000,259.174800
12.220880,1.600000,0.330596,4.028200,0.000000,246.779500
12.220880,1.600000,0.369276,3.895700,0.000000,258.531500
12.220880,1.600000,0.406132,3.674200,0.000000,271.326300
12.220880,1.600000,0.448937,4.246200,0.000000,233.617600
12.220880,1.600000,0.488988,3.948700,0.000000,249.681700
12.220880,1.600000,0.527303,3.904900,0.000000,260.994400
12.220880,1.600000,0.564950,3.675600,0.000000,265.625400
12.220880,1.600000,0.604467,4.003900,0.000000,253.055600
12.220880,1.600000,0.648459,4.362600,0.000000,227.314100
12.220880,1.600000,0.688487,3.995500,0.000000,249.825100
12.220880,1.600000,0.728023,3.972200,0.000000,252.934100
12.220880,1.600000,0.768800,4.063100,0.000000,245.236300
12.220880,1.600000,0.807973,3.903700,0.000000,255.277900
12.220880,1.600000,0.851858,4.408800,0.000000,227.868300
12.220880,1.600000,0.890304,3.800100,0.000000,260.105100
12.220880,1.600000,0.929493,3.923500,0.000000,255.173600
12.220880,1.600000,0.967655,3.818000,0.000000,262.040800
12.220880,1.600000,1.011276,4.323100,0.000000,229.247400
12.220880,1.600000,1.054118,4.290700,0.000000,233.415800
12.220880,1.600000,1.092836,3.889700,0.000000,258.277800
12.220880,1.600000,1.130072,3.724100,0.000000,268.557300
12.220880,1.600000,1.171123,4.048700,0.000000,243.599400
12.220880,1.600000,1.209368,3.852400,0.000000,261.472100
12.220880,1.600000,1.251635,4.219100,0.000000,236.591200
12.220880,1.600000,1.289432,3.756600,0.000000,264.571300
12.220880,1.600000,1.330122,4.079800,0.000000,245.760600
12.220880,1.600000,1.369814,3.955700,0.000000,251.939900
12.220880,1.600000,1.407831,3.786700,0.000000,263.040200
12.220880,1.600000,1.447800,4.013600,0.000000,250.193900
12.220880,1.600000,1.487520,3.934200,0.000000,251.762300
12.220880,1.600000,1.524821,3.691600,0.000000,268.089300
12.220880,1.600000,1.562538,3.814400,0.000000,265.132400
12.220880,1.600000,1.601299,3.836100,0.000000,257.991300
12.220880,1.600000,1.681725,8.039900,0.000000,124.337900
12.220880,1.600000,1.719850,3.762400,0.000000,262.295100
12.220880,1.600000,1.759040,3.979700,0.000000,255.167100
12.220880,1.600000,1.796786,3.753400,0.000000,264.928700
12.220880,1.600000,1.840903,4.431500,0.000000,226.670000
12.220880,1.600000,1.878625,3.759400,0.000000,265.097300
12.220880,1.600000,1.916710,3.754800,0.000000,262.563700
12.220880,1.600000,1.954465,3.800700,0.000000,264.872600
12.220880,1.600000,1.996855,4.217500,0.000000,235.904700
12.220880,1.600000,2.039754,4.246900,0.000000,233.105700
12.220880,1.600000,2.075839,3.664700,0.000000,277.123500
12.220880,1.600000,2.111540,3.570600,0.000000,280.104200
12.220880,1.600000,2.151448,3.854200,0.000000,250.576300
12.220880,1.600000,2.192336,4.180400,0.000000,244.564500
12.220880,1.600000,2.233404,4.116500,0.000000,243.498600
12.220880,1.600000,2.270968,3.721700,0.000000,266.212300
12.220880,1.600000,2.310765,3.990500,0.000000,251.275200
12.220880,1.600000,2.350833,3.993700,0.000000,249.575700
12.220880,1.600000,2.387476,3.643400,0.000000,272.903400
12.220880,1.600000,2.426281,3.903200,0.000000,257.698700
12.220880,1.600000,2.462807,3.627800,0.000000,273.777600
12.220880,1.600000,2.505239,4.215100,0.000000,235.671200
12.220880,1.600000,2.543696,3.837700,0.000000,260.030700
12.220880,1.600000,2.581421,3.795000,0.000000,265.083200
12.220880,1.600000,2.624405,4.262800,0.000000,232.644700
12.220880,1.600000,2.666100,4.173600,0.000000,239.836900
12.220880,1.600000,2.703936,3.784400,0.000000,264.298600
12.220880,1.600000,2.741437,3.730900,0.000000,266.659500
12.220880,1.600000,2.779355,3.809000,0.000000,263.727000
12.220880,1.600000,2.817347,3.736000,0.000000,263.213300
12.220880,1.600000,2.860261,4.311700,0.000000,233.024200
12.220880,1.600000,2.898060,3.736100,0.000000,264.557300
12.220880,1.600000,2.935578,3.795400,0.000000,266.538700
12.220880,1.600000,2.972800,3.703900,0.000000,268.658300
12.220880,1.600000,3.011863,3.921400,0.000000,255.996700
12.220880,1.600000,3.053908,4.158700,0.000000,237.840400
12.220880,1.600000,3.091797,3.798700,0.000000,263.928800
12.220880,1.600000,3.129496,3.786800,0.000000,265.259000
12.220880,1.600000,3.172429,4.269100,0.000000,232.921100
12.220880,1.600000,3.212971,4.027000,0.000000,246.657800
12.220880,1.600000,3.255145,4.180500,0.000000,237.112900
12.220880,1.600000,3.290980,3.642600,0.000000,279.056800
12.220880,1.600000,3.329349,3.793500,0.000000,260.627100
12.220880,1.600000,3.366919,3.781500,0.000000,266.169800
12.220880,1.600000,3.404354,3.737000,0.000000,267.129700
