X,Y,Rotation,Main Thread,Render Thread,FPS
-32.523060,1.599998,0.000000,3.728900,0.000000,265.378700
-32.523060,1.599998,0.048744,4.881100,0.000000,205.153500
-32.523060,1.599998,0.091739,4.262700,0.000000,232.585200
-32.523060,1.599998,0.132319,4.067100,0.000000,246.426800
-32.523060,1.599998,0.173404,4.112200,0.000000,243.397800
-32.523060,1.599998,0.218400,4.496600,0.000000,222.242000
-32.523060,1.599998,0.257933,3.871200,0.000000,252.953200
-32.523060,1.599998,0.296286,3.870300,0.000000,260.735800
-32.523060,1.599998,0.374296,7.772300,0.000000,128.188700
-32.523060,1.599998,0.424711,5.015500,0.000000,198.353700
-32.523060,1.599998,0.467769,4.341000,0.000000,232.244900
-32.523060,1.599998,0.509224,3.969500,0.000000,241.225400
-32.523060,1.599998,0.551002,4.330300,0.000000,239.360400
-32.523060,1.599998,0.590667,3.985500,0.000000,252.111400
-32.523060,1.599998,0.632711,4.157500,0.000000,237.846100
-32.523060,1.599998,0.672877,3.970100,0.000000,248.966800
-32.523060,1.599998,0.713140,4.062600,0.000000,248.367000
-32.523060,1.599998,0.752946,3.974400,0.000000,251.218400
-32.523060,1.599998,0.792420,3.930300,0.000000,253.331300
-32.523060,1.599998,0.838387,4.624200,0.000000,217.547400
-32.523060,1.599998,0.878931,4.021100,0.000000,246.645600
-32.523060,1.599998,0.920871,4.100800,0.000000,238.435900
-32.523060,1.599998,0.961884,4.204400,0.000000,243.825100
-32.523060,1.599998,1.005629,4.332400,0.000000,228.597600
-32.523060,1.599998,1.043912,3.844600,0.000000,261.212600
-32.523060,1.599998,1.085094,4.111800,0.000000,242.824500
-32.523060,1.599998,1.124741,3.880300,0.000000,252.225900
-32.523060,1.599998,1.164748,4.033500,0.000000,249.956300
-32.523060,1.599998,1.209112,4.443900,0.000000,225.408000
-32.523060,1.599998,1.249684,4.000200,0.000000,246.475400
-32.523060,1.599998,1.291063,4.151500,0.000000,241.668500
-32.523060,1.599998,1.331340,3.997100,0.000000,248.280700
-32.523060,1.599998,1.372273,4.114200,0.000000,244.301700
-32.523060,1.599998,1.414476,4.224500,0.000000,236.950000
-32.523060,1.599998,1.455177,4.069000,0.000000,245.694200
-32.523060,1.599998,1.494321,3.883700,0.000000,255.467000
-32.523060,1.599998,1.533288,3.922500,0.000000,256.627400
-32.523060,1.599998,1.572654,3.920700,0.000000,254.026300
-32.523060,1.599998,1.619288,4.605400,0.000000,214.435800
-32.523060,1.599998,1.661336,4.017600,0.000000,237.823400
-32.523060,1.599998,1.705972,4.654600,0.000000,224.034400
-32.523060,1.599998,1.752220,4.617300,0.000000,216.225600
-32.523060,1.599998,1.791236,3.910900,0.000000,256.305100
-32.523060,1.599998,1.837884,4.585800,0.000000,214.371500
-32.523060,1.599998,1.877238,3.983700,0.000000,254.103800
-32.523060,1.599998,1.921235,4.410600,0.000000,227.288200
-32.523060,1.599998,1.960207,3.896700,0.000000,256.594500
-32.523060,1.599998,2.004822,4.352700,0.000000,224.139900
-32.523060,1.599998,2.043010,3.912600,0.000000,261.862400
-32.523060,1.599998,2.083498,4.030200,0.000000,246.992900
-32.523060,1.599998,2.125374,4.136400,0.000000,238.794600
-32.523060,1.599998,2.165720,4.082400,0.000000,247.856000
-32.523060,1.599998,2.208828,4.303800,0.000000,231.975500
-32.523060,1.599998,2.256569,4.431000,0.000000,209.463600
-32.523060,1.599998,2.300758,4.681400,0.000000,226.300700
-32.523060,1.599998,2.376933,7.579800,0.000000,131.276700
-32.523060,1.599998,2.424428,4.769700,0.000000,210.548500
-32.523060,1.599998,2.465476,4.160300,0.000000,243.617200
-32.523060,1.599998,2.506028,4.021500,0.000000,246.597000
-32.523060,1.599998,2.550340,4.412200,0.000000,225.672500
-32.523060,1.599998,2.593064,4.288600,0.000000,234.060500
-32.523060,1.599998,2.636770,4.336300,0.000000,228.801500
-32.523060,1.599998,2.675674,3.926800,0.000000,257.043000
-32.523060,1.599998,2.716676,4.090200,0.000000,243.890500
-32.523060,1.599998,2.757136,3.988500,0.000000,247.157700
-32.523060,1.599998,2.798866,4.188100,0.000000,239.635800
-32.523060,1.599998,2.845235,4.610200,0.000000,215.661300
-32.523060,1.599998,2.888561,4.277000,0.000000,230.808300
-32.523060,1.599998,2.931279,4.319900,0.000000,234.093400
-32.523060,1.599998,2.973987,4.263000,0.000000,234.148200
-32.523060,1.599998,3.020774,4.678700,0.000000,213.734600
-32.523060,1.599998,3.060186,3.954700,0.000000,253.729800
-32.523060,1.599998,3.100021,3.953700,0.000000,251.035500
-32.523060,1.599998,3.147385,4.721100,0.000000,211.130800
-32.523060,1.599998,3.188317,4.088400,0.000000,244.307600
-32.523060,1.599998,3.232572,4.427900,0.000000,225.963200
-32.523060,1.599998,3.273487,4.078100,0.000000,244.409100
-32.523060,1.599998,3.314560,4.101800,0.000000,243.468900
-32.523060,1.599998,3.354104,3.968000,0.000000,252.882900
-32.523060,1.599998,3.393747,3.875500,0.000000,252.251400
-32.523060,1.599998,3.439964,4.667300,0.000000,216.370600
-32.523060,1.599998,3.480332,4.057300,0.000000,247.721000
-32.523060,1.599998,3.519233,3.856800,0.000000,257.062800
-32.523060,1.599998,3.558670,3.944000,0.000000,253.569000
-32.523060,1.599998,3.598764,4.008500,0.000000,249.407700
-32.523060,1.599998,3.643995,4.469100,0.000000,221.092200
-32.523060,1.599998,3.684330,4.061600,0.000000,247.917500
-32.523060,1.599998,3.724973,4.085700,0.000000,246.044800
-32.523060,1.599998,3.766684,4.109800,0.000000,239.744900
-32.523060,1.599998,3.809825,4.351600,0.000000,231.798100
-32.523060,1.599998,3.849700,3.989600,0.000000,250.783700
-32.523060,1.599998,3.888370,3.837100,0.000000,258.598400
-32.523060,1.599998,3.936427,4.662600,0.000000,208.086200
-32.523060,1.599998,3.982624,4.738500,0.000000,216.464300
-32.523060,1.599998,4.026850,4.399700,0.000000,226.111300
-32.523060,1.599998,4.068887,4.226500,0.000000,237.885700
-32.523060,1.599998,4.113190,4.427100,0.000000,225.723400
-32.523060,1.599998,4.155777,4.206200,0.000000,234.813400
-32.523060,1.599998,4.195060,3.978800,0.000000,254.556500
-32.523060,1.599998,4.239002,4.384000,0.000000,227.572700
-32.523060,1.599998,4.280053,4.037800,0.000000,243.599400
-32.523060,1.599998,4.323037,4.304300,0.000000,232.644700
-32.523060,1.599998,4.398818,7.559600,0.000000,131.959200
-32.523060,1.599998,4.445463,4.648300,0.000000,214.385300
-32.523060,1.599998,4.486794,4.192800,0.000000,241.949100
-32.523060,1.599998,4.529530,4.215000,0.000000,233.994800
-32.523060,1.599998,4.570577,4.115500,0.000000,243.623200
-32.523060,1.599998,4.615858,4.545200,0.000000,220.843200
-32.523060,1.599998,4.655275,3.909600,0.000000,253.697600
-32.523060,1.599998,4.696952,4.161100,0.000000,239.940500
-32.523060,1.599998,4.735908,3.917200,0.000000,256.699900
-32.523060,1.599998,4.775232,3.877000,0.000000,254.297600
-32.523060,1.599998,4.820506,4.563300,0.000000,220.877300
-32.523060,1.599998,4.865303,4.068700,0.000000,223.229200
-32.523060,1.599998,4.904777,4.316600,0.000000,253.331300
-32.523060,1.599998,4.943429,3.879900,0.000000,258.712100
-32.523060,1.599998,4.982989,3.921900,0.000000,252.780600
-32.523060,1.599998,5.026402,4.341700,0.000000,230.345700
-32.523060,1.599998,5.066417,3.998500,0.000000,249.912500
-32.523060,1.599998,5.107488,4.099900,0.000000,243.474900
-32.523060,1.599998,5.146616,3.898000,0.000000,255.578000
-32.523060,1.599998,5.185681,3.902900,0.000000,255.983600
-32.523060,1.599998,5.235416,4.924000,0.000000,201.065600
-32.523060,1.599998,5.276511,4.137500,0.000000,243.338600
-32.523060,1.599998,5.316165,3.988300,0.000000,252.181400
-32.523060,1.599998,5.355037,3.880300,0.000000,257.254600
-32.523060,1.599998,5.396127,4.022200,0.000000,243.368200
-32.523060,1.599998,5.443748,4.731800,0.000000,209.991400
-32.523060,1.599998,5.484830,4.166200,0.000000,243.415600
-32.523060,1.599998,5.524093,3.902200,0.000000,254.692700
-32.523060,1.599998,5.566374,4.112200,0.000000,236.512800
-32.523060,1.599998,5.610840,4.569600,0.000000,224.890900
-32.523060,1.599998,5.650833,3.971500,0.000000,250.043800
-32.523060,1.599998,5.690749,4.002200,0.000000,250.526100
-32.523060,1.599998,5.731845,4.085900,0.000000,243.332700
-32.523060,1.599998,5.773278,4.122300,0.000000,241.353500
-32.523060,1.599998,5.817395,4.458500,0.000000,226.664900
-32.523060,1.599998,5.857173,3.958900,0.000000,251.401600
-32.523060,1.599998,5.898209,4.076300,0.000000,243.688500
-32.523060,1.599998,5.938980,4.103800,0.000000,245.272400
-32.523060,1.599998,5.978428,3.942700,0.000000,253.491900
-32.523060,1.599998,6.022601,4.342100,0.000000,226.382600
-32.523060,1.599998,6.062591,4.025500,0.000000,250.068800
-32.523060,1.599998,6.102137,3.979000,0.000000,252.863700
-32.523060,1.599998,6.142056,3.933300,0.000000,250.507300
-32.523060,1.599998,6.182357,4.065700,0.000000,248.132800
-32.523060,1.599998,6.226196,4.356300,0.000000,228.107400
-32.523060,1.599998,6.265618,3.933800,0.000000,253.665500
-32.523060,1.599998,6.305805,3.970500,0.000000,248.836700
-32.523060,1.599998,6.347990,4.248300,0.000000,237.056700
-32.523060,1.599998,6.423983,7.576300,0.000000,131.589300
-32.523060,1.599998,6.471406,4.573800,0.000000,210.868100
-32.523060,1.599998,6.515760,4.609800,0.000000,225.458800
-32.523060,1.599998,6.556431,4.010700,0.000000,245.875400
-32.523060,1.599998,6.597856,4.169100,0.000000,241.406000
-32.523060,1.599998,6.642073,4.446800,0.000000,226.157400
-32.523060,1.599998,6.683112,4.037700,0.000000,243.670700
-32.523060,1.599998,6.724458,4.160400,0.000000,241.855500
-32.523060,1.599998,6.764981,4.052900,0.000000,246.773400
-32.523060,1.599998,6.809883,4.469700,0.000000,222.712200
-32.523060,1.599998,6.848620,3.884200,0.000000,258.144500
-32.523060,1.599998,6.891302,4.232500,0.000000,234.296300
-32.523060,1.599998,6.933970,4.273100,0.000000,234.362200
-32.523060,1.599998,6.973967,3.953600,0.000000,250.025000
-32.523060,1.599998,7.019527,4.593500,0.000000,219.486000
-32.523060,1.599998,7.063655,4.262400,0.000000,226.613500
-32.523060,1.599998,7.105899,4.356700,0.000000,236.720000
-32.523060,1.599998,7.146803,4.075300,0.000000,244.474900
-32.523060,1.599998,7.191752,4.395200,0.000000,222.474400
-32.523060,1.599998,7.246304,5.519100,0.000000,183.311300
-32.523060,1.599998,7.287580,4.130600,0.000000,242.271500
-32.523060,1.599998,7.327569,3.995700,0.000000,250.068800
-32.523060,1.599998,7.369796,4.208200,0.000000,236.815300
-32.523060,1.599998,7.416458,4.664700,0.000000,214.307100
-32.523060,1.599998,7.455877,3.936100,0.000000,253.684800
-32.523060,1.599998,7.495345,3.964200,0.000000,253.369800
-32.523060,1.599998,7.536339,4.068000,0.000000,243.938200
-32.523060,1.599998,7.579184,4.232900,0.000000,233.399500
-32.523060,1.599998,7.622262,4.369900,0.000000,232.131700
-32.523060,1.599998,7.663423,4.101600,0.000000,242.954300
-32.523060,1.599998,7.703222,3.950000,0.000000,251.256300
-32.523060,1.599998,7.743791,3.970700,0.000000,246.493600
-32.523060,1.599998,7.784492,4.171800,0.000000,245.694200
-32.523060,1.599998,7.828215,4.333900,0.000000,228.717800
-32.523060,1.599998,7.867214,3.924700,0.000000,256.410300
-32.523060,1.599998,7.908948,4.135500,0.000000,239.612800
-32.523060,1.599998,7.950903,4.151400,0.000000,238.356300
-32.523060,1.599998,7.992785,4.216600,0.000000,238.760300
-32.523060,1.599998,8.036298,4.371500,0.000000,229.821700
-32.523060,1.599998,8.077196,4.028600,0.000000,244.504800
-32.523060,1.599998,8.118021,4.089000,0.000000,244.948000
-32.523060,1.599998,8.158607,4.054300,0.000000,246.396500
-32.523060,1.599998,8.197943,3.931100,0.000000,254.226500
-32.523060,1.599998,8.244755,4.688200,0.000000,213.615900
-32.523060,1.599998,8.286721,4.190800,0.000000,238.288100
-32.523060,1.599998,8.329242,4.188400,0.000000,235.183500
-32.523060,1.599998,8.371205,4.194800,0.000000,238.299500
-32.523060,1.599998,8.449824,7.881000,0.000000,127.195700
-32.523060,1.599998,8.489839,3.961500,0.000000,249.906300
-32.523060,1.599998,8.530310,4.076200,0.000000,247.096600
-32.523060,1.599998,8.571076,4.069200,0.000000,245.302500
-32.523060,1.599998,8.616588,4.563200,0.000000,219.722300
-32.523060,1.599998,8.658718,4.178600,0.000000,237.360500
-32.523060,1.599998,8.698978,4.028200,0.000000,248.385500
-32.523060,1.599998,8.742391,4.233800,0.000000,230.351100
-32.523060,1.599998,8.874484,7.720400,0.000000,75.703670
-32.523060,1.599998,8.922781,10.401800,0.000000,207.056500
-32.523060,1.599998,8.962770,4.013700,0.000000,250.062500
-32.523060,1.599998,9.007299,4.437100,0.000000,224.572800
-32.523060,1.599998,9.050167,4.247800,0.000000,233.274200
-32.523060,1.599998,9.091352,4.149800,0.000000,242.806900
-32.523060,1.599998,9.133434,4.179900,0.000000,237.631300
-32.523060,1.599998,9.174123,4.023400,0.000000,245.772700
-32.523060,1.599998,9.218270,4.450800,0.000000,226.516000
-32.523060,1.599998,9.259208,4.103400,0.000000,244.271800
-32.523060,1.599998,9.299264,3.980900,0.000000,249.650500
-32.523060,1.599998,9.339609,4.043300,0.000000,247.862200
-32.523060,1.599998,9.381018,4.137800,0.000000,241.499200
-32.523060,1.599998,9.426831,4.507000,0.000000,218.278700
-32.523060,1.599998,9.467633,4.141500,0.000000,245.086000
-32.523060,1.599998,9.508753,4.072300,0.000000,243.190700
-32.523060,1.599998,9.548891,4.009700,0.000000,249.140500
-32.523060,1.599998,9.588220,3.952800,0.000000,254.265300
-32.523060,1.599998,9.632258,4.393600,0.000000,227.076600
-32.523060,1.599998,9.674507,4.118500,0.000000,236.692000
-32.523060,1.599998,9.716928,4.305400,0.000000,235.732300
-32.523060,1.599998,9.757922,4.114100,0.000000,243.944100
-32.523060,1.599998,9.798315,4.003200,0.000000,247.561500
-32.523060,1.599998,9.844658,4.575000,0.000000,215.782300
-32.523060,1.599998,9.886971,4.301700,0.000000,236.339600
-32.523060,1.599998,9.928151,4.080600,0.000000,242.830400
-32.523060,1.599998,9.969091,4.118600,0.000000,244.259900
-32.523060,1.599998,10.017700,4.755100,0.000000,205.731700
