X,Y,Rotation,Main Thread,Render Thread,FPS
-40.000000,1.200000,0.000000,4.814400,0.000000,208.633200
-40.000000,1.200000,0.097786,9.710700,0.000000,102.264100
-40.000000,1.200000,0.163195,6.570900,0.000000,152.884200
-40.000000,1.200000,0.220234,5.655100,0.000000,175.318600
-40.000000,1.200000,0.282133,5.720100,0.000000,161.553500
-40.000000,1.200000,0.339205,6.157400,0.000000,175.217300
-40.000000,1.200000,0.392632,5.352200,0.000000,187.171300
-40.000000,1.200000,0.448737,5.590600,0.000000,178.237200
-40.000000,1.200000,0.504421,5.505300,0.000000,179.584800
-40.000000,1.200000,0.561399,5.758100,0.000000,175.506300
-40.000000,1.200000,0.621656,5.997300,0.000000,165.955800
-40.000000,1.200000,0.705484,8.084300,0.000000,119.291900
-40.000000,1.200000,0.764670,6.185200,0.000000,168.958900
-40.000000,1.200000,0.826158,5.873200,0.000000,162.633400
-40.000000,1.200000,0.898570,7.295000,0.000000,138.098600
-40.000000,1.200000,0.972905,7.569100,0.000000,134.526100
-40.000000,1.200000,1.037333,6.467900,0.000000,155.212000
-40.000000,1.200000,1.106773,6.898700,0.000000,144.009200
-40.000000,1.200000,1.165532,5.941500,0.000000,170.186700
-40.000000,1.200000,1.224423,5.672700,0.000000,169.805200
-40.000000,1.200000,1.284454,6.165000,0.000000,166.580600
-40.000000,1.200000,1.380253,9.601000,0.000000,104.385200
-40.000000,1.200000,1.441526,6.072000,0.000000,163.204000
-40.000000,1.200000,1.507571,6.641700,0.000000,151.411900
-40.000000,1.200000,1.559461,5.212600,0.000000,192.715300
-40.000000,1.200000,1.617630,5.710300,0.000000,171.912900
-40.000000,1.200000,1.682192,6.537800,0.000000,154.889900
-40.000000,1.200000,1.735472,5.259300,0.000000,187.687700
-40.000000,1.200000,1.797416,5.734500,0.000000,161.436100
-40.000000,1.200000,1.859822,6.472600,0.000000,160.241000
-40.000000,1.200000,1.916225,5.790700,0.000000,177.295500
-40.000000,1.200000,1.970750,5.432500,0.000000,183.402100
-40.000000,1.200000,2.018394,4.887700,0.000000,209.890000
-40.000000,1.200000,2.067298,4.903800,0.000000,204.482300
-40.000000,1.200000,2.117048,4.912300,0.000000,201.005000
-40.000000,1.200000,2.171421,5.377800,0.000000,183.914800
-40.000000,1.200000,2.239850,6.807500,0.000000,146.136900
-40.000000,1.200000,2.293866,5.488100,0.000000,185.130300
-40.000000,1.200000,2.351326,5.251800,0.000000,174.034100
