X,Y,Rotation,Main Thread,Render Thread,FPS
-5.396423,1.600000,0.000000,3.447900,0.000000,290.731500
-5.396423,1.600000,0.046095,4.600300,0.000000,216.943300
-5.396423,1.600000,0.094920,4.823200,0.000000,204.813100
-5.396423,1.600000,0.145921,5.120900,0.000000,196.074600
-5.396423,1.600000,0.220823,7.494200,0.000000,133.507800
-5.396423,1.600000,0.268002,4.722500,0.000000,211.958700
-5.396423,1.600000,0.311137,4.283400,0.000000,231.830300
-5.396423,1.600000,0.355448,4.407800,0.000000,225.677600
-5.396423,1.600000,0.398454,4.246700,0.000000,232.525700
-5.396423,1.600000,0.444478,4.606300,0.000000,217.277900
-5.396423,1.600000,0.488664,4.454100,0.000000,226.316000
-5.396423,1.600000,0.534611,4.615700,0.000000,217.642100
-5.396423,1.600000,0.579565,4.419000,0.000000,222.449600
-5.396423,1.600000,0.622668,4.324700,0.000000,232.002400
-5.396423,1.600000,0.667609,4.521700,0.000000,222.514000
-5.396423,1.600000,0.709043,4.126500,0.000000,241.347700
-5.396423,1.600000,0.759786,5.051300,0.000000,197.071500
-5.396423,1.600000,0.803107,4.350000,0.000000,230.834900
-5.396423,1.600000,0.845528,4.202000,0.000000,235.732300
-5.396423,1.600000,0.888811,4.246100,0.000000,231.037600
-5.396423,1.600000,0.937104,4.915500,0.000000,207.069300
-5.396423,1.600000,0.980326,4.329900,0.000000,231.363600
-5.396423,1.600000,1.021120,4.041700,0.000000,245.134100
-5.396423,1.600000,1.061848,4.043500,0.000000,245.531300
-5.396423,1.600000,1.106707,4.493100,0.000000,222.920700
-5.396423,1.600000,1.153153,4.648700,0.000000,215.303800
-5.396423,1.600000,1.193592,4.068500,0.000000,247.286000
-5.396423,1.600000,1.235446,4.118500,0.000000,238.925800
-5.396423,1.600000,1.279521,4.362600,0.000000,226.886000
-5.396423,1.600000,1.322510,4.378200,0.000000,232.617700
-5.396423,1.600000,1.367976,4.488800,0.000000,219.944600
-5.396423,1.600000,1.412520,4.379600,0.000000,224.497100
-5.396423,1.600000,1.456764,4.532200,0.000000,226.019300
-5.396423,1.600000,1.497980,4.104100,0.000000,242.624200
-5.396423,1.600000,1.544163,4.581500,0.000000,216.529900
-5.396423,1.600000,1.588420,4.459800,0.000000,225.953000
-5.396423,1.600000,1.628682,4.020500,0.000000,248.373200
-5.396423,1.600000,1.669056,4.003500,0.000000,247.684200
-5.396423,1.600000,1.710084,4.121500,0.000000,243.736000
-5.396423,1.600000,1.756988,4.682800,0.000000,213.201400
-5.396423,1.600000,1.798712,4.142100,0.000000,239.670200
-5.396423,1.600000,1.838671,4.008900,0.000000,250.256500
-5.396423,1.600000,1.880145,4.116900,0.000000,241.114900
-5.396423,1.600000,1.926418,4.629000,0.000000,216.108700
-5.396423,1.600000,1.966527,4.025700,0.000000,249.326800
-5.396423,1.600000,2.007137,4.062100,0.000000,246.238700
-5.396423,1.600000,2.046697,3.917900,0.000000,252.780600
-5.396423,1.600000,2.089656,4.303100,0.000000,232.780100
-5.396423,1.600000,2.133834,4.417800,0.000000,226.357000
-5.396423,1.600000,2.175496,4.099100,0.000000,240.026900
-5.396423,1.600000,2.253866,7.878000,0.000000,127.599800
-5.396423,1.600000,2.297394,4.325300,0.000000,229.737200
-5.396423,1.600000,2.342322,4.520100,0.000000,222.578300
-5.396423,1.600000,2.383825,4.105000,0.000000,240.946400
-5.396423,1.600000,2.431160,4.568400,0.000000,211.260200
-5.396423,1.600000,2.471998,4.264400,0.000000,244.870000
-5.396423,1.600000,2.512229,4.016600,0.000000,248.564600
-5.396423,1.600000,2.555884,4.338800,0.000000,229.074100
-5.396423,1.600000,2.598298,4.244200,0.000000,235.771200
-5.396423,1.600000,2.638837,4.058900,0.000000,246.676000
-5.396423,1.600000,2.678602,3.940600,0.000000,251.477400
-5.396423,1.600000,2.720256,4.197400,0.000000,240.073000
-5.396423,1.600000,2.768322,4.790500,0.000000,208.047300
-5.396423,1.600000,2.809016,4.030200,0.000000,245.730400
-5.396423,1.600000,2.849856,4.098400,0.000000,244.864000
-5.396423,1.600000,2.896339,4.587000,0.000000,215.132400
-5.396423,1.600000,2.943872,4.775300,0.000000,210.380200
-5.396423,1.600000,2.984327,4.079400,0.000000,247.188200
-5.396423,1.600000,3.023934,3.948600,0.000000,252.480600
-5.396423,1.600000,3.062631,3.816400,0.000000,258.418000
-5.396423,1.600000,3.107406,4.498900,0.000000,223.338900
-5.396423,1.600000,3.151386,4.404100,0.000000,227.376100
-5.396423,1.600000,3.191924,4.007400,0.000000,246.682100
-5.396423,1.600000,3.234573,4.259200,0.000000,234.472100
-5.396423,1.600000,3.277162,4.292300,0.000000,234.802400
-5.396423,1.600000,3.316569,3.907600,0.000000,253.762000
-5.396423,1.600000,3.359238,4.285800,0.000000,234.362200
-5.396423,1.600000,3.401444,4.099300,0.000000,236.933200
-5.396423,1.600000,3.446162,4.547200,0.000000,223.623600
-5.396423,1.600000,3.488024,4.121600,0.000000,238.880100
-5.396423,1.600000,3.532665,4.535100,0.000000,224.009300
-5.396423,1.600000,3.574591,4.156300,0.000000,238.515500
-5.396423,1.600000,3.616025,4.162600,0.000000,241.347700
-5.396423,1.600000,3.656864,4.089600,0.000000,244.864000
-5.396423,1.600000,3.697437,4.016600,0.000000,246.469300
-5.396423,1.600000,3.742796,4.511700,0.000000,220.463400
-5.396423,1.600000,3.785316,4.286000,0.000000,235.183500
-5.396423,1.600000,3.825488,3.982200,0.000000,248.929600
-5.396423,1.600000,3.867876,4.261100,0.000000,235.915800
-5.396423,1.600000,3.910152,4.166400,0.000000,236.540800
-5.396423,1.600000,3.956612,4.602600,0.000000,215.238900
-5.396423,1.600000,3.998101,4.208000,0.000000,241.027700
-5.396423,1.600000,4.038503,4.049100,0.000000,247.512500
-5.396423,1.600000,4.081738,4.271200,0.000000,231.294100
-5.396423,1.600000,4.130044,4.856100,0.000000,207.013600
-5.396423,1.600000,4.169333,3.937400,0.000000,254.524200
-5.396423,1.600000,4.212765,4.275400,0.000000,230.245000
-5.396423,1.600000,4.289476,7.702000,0.000000,130.359400
-5.396423,1.600000,4.334919,4.514100,0.000000,220.051000
-5.396423,1.600000,4.375944,4.139800,0.000000,243.753800
-5.396423,1.600000,4.419458,4.292000,0.000000,229.811100
-5.396423,1.600000,4.461355,4.209500,0.000000,238.686300
-5.396423,1.600000,4.501725,4.053700,0.000000,247.708700
-5.396423,1.600000,4.547361,4.540300,0.000000,219.125300
-5.396423,1.600000,4.591773,4.425200,0.000000,225.164400
-5.396423,1.600000,4.632699,4.100500,0.000000,244.337500
-5.396423,1.600000,4.673126,4.034900,0.000000,247.365600
-5.396423,1.600000,4.716262,4.285900,0.000000,231.824900
-5.396423,1.600000,4.762523,4.656600,0.000000,216.164800
-5.396423,1.600000,4.802175,3.952300,0.000000,252.194100
-5.396423,1.600000,4.842130,3.959500,0.000000,250.287800
-5.396423,1.600000,4.883731,4.183400,0.000000,240.373100
-5.396423,1.600000,4.932985,4.884700,0.000000,203.029200
-5.396423,1.600000,4.974768,4.168000,0.000000,239.337500
-5.396423,1.600000,5.013869,3.949300,0.000000,255.741400
-5.396423,1.600000,5.058417,4.423700,0.000000,224.477000
-5.396423,1.600000,5.102569,4.397200,0.000000,226.495400
-5.396423,1.600000,5.147360,4.484200,0.000000,223.254200
-5.396423,1.600000,5.188648,4.141900,0.000000,242.201100
-5.396423,1.600000,5.228180,3.911100,0.000000,252.959600
-5.396423,1.600000,5.272849,4.478300,0.000000,223.868900
-5.396423,1.600000,5.314127,4.128300,0.000000,242.259800
-5.396423,1.600000,5.358027,4.368900,0.000000,227.790400
-5.396423,1.600000,5.399063,4.080800,0.000000,243.688500
-5.396423,1.600000,5.442336,4.300500,0.000000,231.091000
-5.396423,1.600000,5.486258,4.320200,0.000000,227.676300
-5.396423,1.600000,5.529434,4.430900,0.000000,231.610200
-5.396423,1.600000,5.640306,7.424100,0.000000,90.193280
-5.396423,1.600000,5.683204,7.895800,0.000000,233.116500
-5.396423,1.600000,5.730214,4.663400,0.000000,212.720700
-5.396423,1.600000,5.774261,4.460900,0.000000,227.030200
-5.396423,1.600000,5.815519,4.106200,0.000000,242.377200
-5.396423,1.600000,5.857935,4.202000,0.000000,235.754500
-5.396423,1.600000,5.897914,4.041600,0.000000,250.137600
-5.396423,1.600000,5.945085,4.665300,0.000000,211.994700
