X,Y,Rotation,Main Thread,Render Thread,FPS
-40.299420,1.599221,0.000000,3.913700,0.000000,252.474300
-40.299420,1.599221,0.055849,5.569900,0.000000,179.054200
-40.299420,1.599221,0.099137,4.348400,0.000000,231.010900
-40.299420,1.599221,0.144288,4.529800,0.000000,221.479000
-40.299420,1.599221,0.190130,4.337100,0.000000,218.140600
-40.299420,1.599221,0.239159,5.115100,0.000000,203.960900
-40.299420,1.599221,0.281833,4.256500,0.000000,234.334700
-40.299420,1.599221,0.328116,4.512200,0.000000,216.062000
-40.299420,1.599221,0.370401,4.336500,0.000000,236.490500
-40.299420,1.599221,0.413097,4.205600,0.000000,234.214000
-40.299420,1.599221,0.456949,4.403400,0.000000,228.039800
-40.299420,1.599221,0.500651,4.330600,0.000000,228.822500
-40.299420,1.599221,0.545128,4.466500,0.000000,224.835300
-40.299420,1.599221,0.620831,7.550500,0.000000,132.095200
-40.299420,1.599221,0.665280,4.480700,0.000000,224.976900
-40.299420,1.599221,0.707459,4.215400,0.000000,237.084800
-40.299420,1.599221,0.753052,4.508700,0.000000,219.331900
-40.299420,1.599221,0.795111,4.249700,0.000000,237.761200
-40.299420,1.599221,0.839984,4.468900,0.000000,222.851200
-40.299420,1.599221,0.882569,4.223600,0.000000,234.824500
-40.299420,1.599221,0.929084,4.662600,0.000000,214.984400
-40.299420,1.599221,0.972550,4.309300,0.000000,230.064900
-40.299420,1.599221,1.019305,4.619100,0.000000,213.880900
-40.299420,1.599221,1.061106,4.267100,0.000000,239.228700
-40.299420,1.599221,1.103732,4.231600,0.000000,234.598600
-40.299420,1.599221,1.149550,4.559500,0.000000,218.254800
-40.299420,1.599221,1.192116,4.258100,0.000000,234.929300
-40.299420,1.599221,1.233681,4.177900,0.000000,240.587000
-40.299420,1.599221,1.276568,4.250200,0.000000,233.170900
-40.299420,1.599221,1.322960,4.656200,0.000000,215.554400
-40.299420,1.599221,1.366708,4.354600,0.000000,228.581900
-40.299420,1.599221,1.409889,4.282800,0.000000,231.583300
-40.299420,1.599221,1.453268,4.363900,0.000000,230.526300
-40.299420,1.599221,1.494682,4.122800,0.000000,241.464200
-40.299420,1.599221,1.539938,4.468300,0.000000,220.965200
-40.299420,1.599221,1.580518,4.117700,0.000000,246.426800
-40.299420,1.599221,1.630172,4.899900,0.000000,201.393600
-40.299420,1.599221,1.677364,4.733700,0.000000,211.900300
-40.299420,1.599221,1.722718,4.566600,0.000000,220.487700
